Epoch,Batch,Time,Time_sum,Loss,Loss_avg
0,1002/12672,0.464441,469.938389,3.716130,3.947682
0,1003/12672,0.466050,470.404439,3.770944,3.947506
0,1004/12672,0.464309,470.868748,4.176081,3.947733
0,1005/12672,0.464058,471.332806,4.193254,3.947977
0,1006/12672,0.465315,471.798121,4.141345,3.948169
0,1007/12672,0.466031,472.264152,3.950634,3.948172
0,1008/12672,0.464882,472.729034,4.019895,3.948243
0,1009/12672,0.464087,473.193121,4.146964,3.948439
0,1010/12672,0.465778,473.658899,3.769217,3.948262
0,1011/12672,0.465409,474.124308,4.028771,3.948342
0,1012/12672,0.464333,474.588641,3.986663,3.948380
0,1013/12672,0.464605,475.053246,3.779943,3.948213
0,1014/12672,0.463851,475.517097,4.083682,3.948347
0,1015/12672,0.464659,475.981755,3.988566,3.948387
0,1016/12672,0.464693,476.446449,4.057696,3.948494
0,1017/12672,0.464572,476.911021,4.045816,3.948590
0,1018/12672,0.465678,477.376699,3.987941,3.948628
0,1019/12672,0.464288,477.840987,3.943311,3.948623
0,1020/12672,0.465791,478.306778,3.797321,3.948475
0,1021/12672,0.464353,478.771132,4.129410,3.948652
0,1022/12672,0.465601,479.236733,4.434415,3.949127
0,1023/12672,0.464039,479.700772,4.005241,3.949181
0,1024/12672,0.467214,480.167986,3.984682,3.949216
0,1025/12672,0.465453,480.633440,3.897877,3.949166
0,1026/12672,0.466086,481.099525,3.747172,3.948969
0,1027/12672,0.464805,481.564331,3.816856,3.948841
0,1028/12672,0.465085,482.029416,3.862266,3.948757
0,1029/12672,0.466254,482.495670,3.990175,3.948797
0,1030/12672,0.466635,482.962305,3.893520,3.948743
0,1031/12672,0.463762,483.426067,3.954254,3.948749
0,1032/12672,0.465270,483.891336,3.777995,3.948583
0,1033/12672,0.464828,484.356164,3.815430,3.948455
0,1034/12672,0.464819,484.820982,3.969952,3.948475
0,1035/12672,0.464153,485.285136,3.820746,3.948352
0,1036/12672,0.463921,485.749056,4.096153,3.948495
0,1037/12672,0.465435,486.214491,3.803849,3.948355
0,1038/12672,0.465751,486.680243,3.908791,3.948317
0,1039/12672,0.464191,487.144434,3.651049,3.948031
0,1040/12672,0.466261,487.610695,3.839476,3.947927
0,1041/12672,0.465525,488.076220,3.800163,3.947785
0,1042/12672,0.466089,488.542309,3.764540,3.947610
0,1043/12672,0.466400,489.008708,4.006620,3.947666
0,1044/12672,0.463406,489.472115,3.913413,3.947633
0,1045/12672,0.466568,489.938683,4.164487,3.947841
0,1046/12672,0.463927,490.402610,3.794182,3.947694
0,1047/12672,0.464170,490.866780,3.742257,3.947498
0,1048/12672,0.464802,491.331582,4.130580,3.947672
0,1049/12672,0.465035,491.796617,3.888399,3.947616
0,1050/12672,0.463970,492.260587,3.735348,3.947414
0,1051/12672,0.464097,492.724684,3.984544,3.947449
0,1052/12672,0.463980,493.188664,4.039146,3.947536
0,1053/12672,0.463907,493.652571,3.838034,3.947432
0,1054/12672,0.464109,494.116681,4.145739,3.947620
0,1055/12672,0.465261,494.581942,4.193297,3.947853
0,1056/12672,0.464568,495.046510,3.876278,3.947785
0,1057/12672,0.465936,495.512446,3.794920,3.947641
0,1058/12672,0.464289,495.976735,3.963831,3.947656
0,1059/12672,0.464759,496.441494,4.003450,3.947709
0,1060/12672,0.463568,496.905063,3.718528,3.947493
0,1061/12672,0.466139,497.371202,3.831587,3.947384
0,1062/12672,0.464148,497.835349,4.116183,3.947542
0,1063/12672,0.466118,498.301467,4.155758,3.947738
0,1064/12672,0.463490,498.764957,4.114727,3.947895
0,1065/12672,0.463362,499.228319,3.843335,3.947797
0,1066/12672,0.464797,499.693116,3.874110,3.947728
0,1067/12672,0.464469,500.157585,3.956552,3.947736
0,1068/12672,0.464765,500.622350,3.957056,3.947745
0,1069/12672,0.464480,501.086830,3.694983,3.947509
0,1070/12672,0.466128,501.552958,3.783183,3.947355
0,1071/12672,0.463982,502.016940,3.730668,3.947153
0,1072/12672,0.465165,502.482104,3.926940,3.947134
0,1073/12672,0.466123,502.948228,3.801566,3.946999
0,1074/12672,0.463979,503.412206,3.627138,3.946701
0,1075/12672,0.465649,503.877856,3.810216,3.946574
0,1076/12672,0.464215,504.342070,3.941679,3.946570
0,1077/12672,0.464422,504.806493,4.294621,3.946893
0,1078/12672,0.464602,505.271095,4.213064,3.947139
0,1079/12672,0.463232,505.734327,4.313567,3.947478
0,1080/12672,0.465266,506.199592,3.849780,3.947388
0,1081/12672,0.464846,506.664438,3.975273,3.947414
0,1082/12672,0.466624,507.131062,4.002974,3.947465
0,1083/12672,0.466614,507.597676,3.850879,3.947376
0,1084/12672,0.466005,508.063680,3.935138,3.947365
0,1085/12672,0.465671,508.529351,4.078392,3.947485
0,1086/12672,0.464364,508.993716,3.918234,3.947459
0,1087/12672,0.464774,509.458490,3.898343,3.947413
0,1088/12672,0.464140,509.922630,3.886696,3.947358
0,1089/12672,0.465993,510.388623,4.025585,3.947429
0,1090/12672,0.465191,510.853814,3.970591,3.947451
0,1091/12672,0.464589,511.318403,3.918069,3.947424
0,1092/12672,0.465956,511.784360,3.825247,3.947312
0,1093/12672,0.464947,512.249306,3.712034,3.947097
0,1094/12672,0.465782,512.715088,4.248127,3.947372
0,1095/12672,0.464598,513.179686,3.772080,3.947212
0,1096/12672,0.466083,513.645769,3.734541,3.947018
0,1097/12672,0.466038,514.111806,3.669248,3.946765
0,1098/12672,0.464367,514.576173,3.723519,3.946562
0,1099/12672,0.463775,515.039948,3.879538,3.946501
0,1100/12672,0.464358,515.504306,4.173161,3.946707
0,1101/12672,0.464834,515.969140,3.924224,3.946686
0,1102/12672,0.464630,516.433769,4.109489,3.946834
0,1103/12672,0.466867,516.900637,3.848235,3.946745
0,1104/12672,0.463975,517.364612,3.855216,3.946662
0,1105/12672,0.463923,517.828535,4.018661,3.946727
0,1106/12672,0.465057,518.293592,3.927399,3.946710
